lat_r,lon_r,start_rides,geometry,dot_class,index_right,zip,zip_class,matrix_cat,start_station_name
38.7668,-77.1504,36,POINT (-8588343.242497373 4688322.509106337),large,106.0,22310,medium,Balanced,Charles Arrington Dr & Manchester Lakes Dr 
38.7669,-77.1689,55,POINT (-8590402.65307705 4688336.786320336),large,96.0,22150,medium,Balanced,Franconia-Springfield Metro North
38.7669,-77.1688,1,POINT (-8590391.52112797 4688336.786320336),small,96.0,22150,medium,Balanced,Franconia-Springfield Metro North
38.7684,-77.1565,24,POINT (-8589022.291391212 4688550.946931764),large,106.0,22310,medium,Balanced,Metro Park Dr & Walker Ln 
38.7756,-77.16,33,POINT (-8589411.909608988 4689578.98055249),large,96.0,22150,medium,Balanced,Seatrend Way & Topsails Ln
38.7826,-77.0161,123,POINT (-8573393.034883836 4690578.557182471),large,7.0,20745,medium,Balanced,Fleet St & Waterfront St
38.7826,-77.016,4,POINT (-8573381.902934758 4690578.557182471),medium,7.0,20745,medium,Balanced,Fleet St & Waterfront St
38.7827,-77.0161,1,POINT (-8573393.034883836 4690592.837559488),small,7.0,20745,medium,Balanced,Fleet St & Waterfront St
38.7827,-77.016,1,POINT (-8573381.902934758 4690592.837559488),small,7.0,20745,medium,Balanced,Fleet St & Waterfront St
38.7828,-77.016,1,POINT (-8573381.902934758 4690607.11795653),small,7.0,20745,medium,Balanced,Fleet St & Waterfront St
38.7859,-77.0168,5,POINT (-8573470.958527392 4691049.820198813),medium,7.0,20745,medium,Balanced,National Harbor Carousel
38.7859,-77.0167,310,POINT (-8573459.826578312 4691049.820198813),large,7.0,20745,medium,Balanced,National Harbor Carousel
38.786,-77.0167,2,POINT (-8573459.826578312 4691064.101236773),medium,7.0,20745,medium,Balanced,National Harbor Carousel
38.793,-77.0494,1,POINT (-8577099.973927254 4692063.823674961),small,84.0,22314,dark,Net sink ZIP,Mt Vernon Trail & S. Washington St.
38.793,-77.0493,4,POINT (-8577088.841978174 4692063.823674961),medium,84.0,22314,dark,Balanced,Mt Vernon Trail & S. Washington St.
38.793,-77.0492,1,POINT (-8577077.710029094 4692063.823674961),small,84.0,22314,dark,Net sink ZIP,Mt Vernon Trail & S. Washington St.
38.7931,-77.0494,359,POINT (-8577099.973927254 4692078.106135321),large,84.0,22314,dark,High-turnover hub,Mt Vernon Trail & S. Washington St.
38.7931,-77.0492,1,POINT (-8577077.710029094 4692078.106135321),small,84.0,22314,dark,Net sink ZIP,Mt Vernon Trail & S. Washington St.
38.7968,-77.0026,73,POINT (-8571890.22175813 4692606.571255709),large,7.0,20745,medium,Balanced,Tanger Outlets
38.7969,-77.0028,1,POINT (-8571912.485656286 4692620.854477559),small,7.0,20745,medium,Balanced,Tanger Outlets
38.7969,-77.0027,2,POINT (-8571901.353707207 4692620.854477559),medium,7.0,20745,medium,Balanced,Tanger Outlets
38.7976,-77.0538,61,POINT (-8577589.779686742 4692720.837591661),large,84.0,22314,dark,High-turnover hub,Lee Center
38.7981,-77.0489,1,POINT (-8577044.314181857 4692792.254702987),small,84.0,22314,dark,Net sink ZIP,Franklin St & S Washington St
38.7981,-77.0488,3,POINT (-8577033.182232777 4692792.254702987),medium,84.0,22314,dark,Balanced,Franklin St & S Washington St
38.7981,-77.0487,87,POINT (-8577022.050283698 4692792.254702987),large,84.0,22314,dark,High-turnover hub,Franklin St & S Washington St
38.7987,-77.001,24,POINT (-8571712.110572858 4692877.955897977),large,7.0,20745,medium,Balanced,Oxon Hill Park & Ride
38.7993,-77.0447,122,POINT (-8576576.772320526 4692963.657814516),large,84.0,22314,dark,High-turnover hub,Royal St & Wilkes St
38.8001,-77.1299,57,POINT (-8586061.192936113 4693077.928159009),large,123.0,22304,dark,High-turnover hub,Van Dorn Metro
38.8002,-77.13,1,POINT (-8586072.32488519 4693092.212042268),small,123.0,22304,dark,Net sink ZIP,Van Dorn Metro
38.8002,-77.1299,1,POINT (-8586061.192936113 4693092.212042268),small,123.0,22304,dark,Net sink ZIP,Van Dorn Metro
38.8007,-77.048,48,POINT (-8576944.126640143 4693163.6317592375),large,84.0,22314,dark,High-turnover hub,S Washington St & Wilkes St
38.8011,-77.069,194,POINT (-8579281.835946802 4693220.767893622),large,84.0,22314,dark,High-turnover hub,Eisenhower Ave & Mill Race Ln
38.8011,-77.0689,1,POINT (-8579270.703997722 4693220.767893622),small,84.0,22314,dark,Net sink ZIP,Eisenhower Ave & Mill Race Ln
38.8011,-77.0688,1,POINT (-8579259.572048642 4693220.767893622),small,84.0,22314,dark,Net sink ZIP,Eisenhower Ave & Mill Race Ln
38.8012,-77.069,1,POINT (-8579281.835946802 4693235.051977332),small,84.0,22314,dark,Net sink ZIP,Eisenhower Ave & Mill Race Ln
38.8018,-77.0402,1,POINT (-8576075.834611954 4693320.756900545),small,84.0,22314,dark,Net sink ZIP,Duke St & Strand (Robinson Terminal)
38.8019,-77.0403,123,POINT (-8576086.966561034 4693335.041124576),large,84.0,22314,dark,High-turnover hub,Duke St & Strand (Robinson Terminal)
38.802,-77.0403,2,POINT (-8576086.966561034 4693349.325368649),medium,84.0,22314,dark,Balanced,Duke St & Strand (Robinson Terminal)
38.8024,-77.0728,1,POINT (-8579704.850011816 4693406.462545415),small,84.0,22314,dark,Net sink ZIP,Mandeville Ln & Stovall St
38.8026,-77.0725,1,POINT (-8579671.454164578 4693435.031254078),small,84.0,22314,dark,Net sink ZIP,Mandeville Ln & Stovall St
38.8026,-77.0636,1,POINT (-8578680.710696517 4693435.031254078),small,84.0,22314,dark,Net sink ZIP,Ballenger Ave & Dulaney St
38.8027,-77.0825,67,POINT (-8580784.64907251 4693449.31563848),large,84.0,22314,dark,High-turnover hub,Eisenhower Ave & Ike Dr
38.8027,-77.0638,1,POINT (-8578702.974594677 4693449.31563848),small,84.0,22314,dark,Net sink ZIP,Ballenger Ave & Dulaney St
38.8027,-77.0637,2,POINT (-8578691.842645597 4693449.31563848),medium,84.0,22314,dark,Balanced,Ballenger Ave & Dulaney St
38.8027,-77.0636,180,POINT (-8578680.710696517 4693449.31563848),large,84.0,22314,dark,High-turnover hub,Ballenger Ave & Dulaney St
38.8028,-77.0825,1,POINT (-8580784.64907251 4693463.600042929),small,84.0,22314,dark,Net sink ZIP,Eisenhower Ave & Ike Dr
38.8028,-77.0727,1,POINT (-8579693.718062736 4693463.600042929),small,84.0,22314,dark,Net sink ZIP,Mandeville Ln & Stovall St
38.8028,-77.0726,3,POINT (-8579682.586113656 4693463.600042929),medium,84.0,22314,dark,Balanced,Mandeville Ln & Stovall St
38.8029,-77.0727,1,POINT (-8579693.718062736 4693477.884467424),small,84.0,22314,dark,Net sink ZIP,Mandeville Ln & Stovall St
38.8029,-77.0726,114,POINT (-8579682.586113656 4693477.884467424),large,84.0,22314,dark,High-turnover hub,Mandeville Ln & Stovall St
38.8029,-77.0725,1,POINT (-8579671.454164578 4693477.884467424),small,84.0,22314,dark,Net sink ZIP,Mandeville Ln & Stovall St
38.803,-77.0725,1,POINT (-8579671.454164578 4693492.1689119665),small,84.0,22314,dark,Net sink ZIP,Mandeville Ln & Stovall St
38.8031,-77.0404,440,POINT (-8576098.098510114 4693506.453376557),large,84.0,22314,dark,High-turnover hub,Prince St & Union St
38.8031,-77.0403,7,POINT (-8576086.966561034 4693506.453376557),medium,84.0,22314,dark,Balanced,Prince St & Union St
38.8031,-77.0402,1,POINT (-8576075.834611954 4693506.453376557),small,84.0,22314,dark,Net sink ZIP,Prince St & Union St
38.8032,-77.0404,1,POINT (-8576098.098510114 4693520.737861193),small,84.0,22314,dark,Net sink ZIP,Prince St & Union St
38.8032,-77.0403,1,POINT (-8576086.966561034 4693520.737861193),small,84.0,22314,dark,Net sink ZIP,Prince St & Union St
38.8043,-77.0609,1,POINT (-8578380.148071375 4693677.868515356),small,84.0,22314,dark,Net sink ZIP,Duke St & John Carlyle St
38.8043,-77.0608,1,POINT (-8578369.016122296 4693677.868515356),small,84.0,22314,dark,Net sink ZIP,Duke St & John Carlyle St
38.8044,-77.0609,99,POINT (-8578380.148071375 4693692.15324057),large,84.0,22314,dark,High-turnover hub,Duke St & John Carlyle St
38.8045,-77.1323,22,POINT (-8586328.359714014 4693706.437985832),medium,123.0,22304,dark,Balanced,S Pickett St & Shillings St
38.8047,-77.0434,331,POINT (-8576432.056982493 4693735.007536503),large,84.0,22314,dark,High-turnover hub,Market Square / King St & Royal St
38.8047,-77.0433,3,POINT (-8576420.925033413 4693735.007536503),medium,84.0,22314,dark,Balanced,Market Square / King St & Royal St
38.8048,-77.0447,260,POINT (-8576576.772320526 4693749.29234191),large,84.0,22314,dark,High-turnover hub,King St & N Pitt St
38.8048,-77.0446,1,POINT (-8576565.640371446 4693749.29234191),small,84.0,22314,dark,Net sink ZIP,King St & N Pitt St
38.8048,-77.0445,6,POINT (-8576554.508422365 4693749.29234191),medium,84.0,22314,dark,Balanced,King St & N Pitt St
38.8048,-77.0434,2,POINT (-8576432.056982493 4693749.29234191),medium,84.0,22314,dark,Balanced,Market Square / King St & Royal St
38.8049,-77.0446,2,POINT (-8576565.640371446 4693763.5771673685),medium,84.0,22314,dark,Balanced,King St & N Pitt St
38.8049,-77.0445,1,POINT (-8576554.508422365 4693763.5771673685),small,84.0,22314,dark,Net sink ZIP,King St & N Pitt St
38.8052,-77.05,1,POINT (-8577166.76562173 4693806.4317640355),small,84.0,22314,dark,Net sink ZIP,King St & Patrick St
38.8052,-77.0499,1,POINT (-8577155.633672647 4693806.4317640355),small,84.0,22314,dark,Net sink ZIP,King St & Patrick St
38.8053,-77.05,1,POINT (-8577166.76562173 4693820.71666969),small,84.0,22314,dark,Net sink ZIP,King St & Patrick St
38.8053,-77.0499,190,POINT (-8577155.633672647 4693820.71666969),large,84.0,22314,dark,High-turnover hub,King St & Patrick St
38.8054,-77.0499,1,POINT (-8577155.633672647 4693835.001595394),small,84.0,22314,dark,Net sink ZIP,King St & Patrick St
38.8055,-77.0788,37,POINT (-8580372.766956575 4693849.286541148),large,84.0,22314,dark,High-turnover hub,Witter Field
38.8056,-77.0789,1,POINT (-8580383.898905655 4693863.571506951),small,84.0,22314,dark,Net sink ZIP,Witter Field
38.8056,-77.0788,2,POINT (-8580372.766956575 4693863.571506951),medium,84.0,22314,dark,Balanced,Witter Field
38.8056,-77.0529,194,POINT (-8577489.592145028 4693863.571506951),large,84.0,22314,dark,High-turnover hub,Commerce St & Fayette St
38.8057,-77.0607,2,POINT (-8578357.884173216 4693877.856492805),medium,84.0,22314,dark,Balanced,King St Metro South
38.8057,-77.053,3,POINT (-8577500.724094108 4693877.856492805),medium,84.0,22314,dark,Balanced,Commerce St & Fayette St
38.8057,-77.0529,7,POINT (-8577489.592145028 4693877.856492805),medium,84.0,22314,dark,Balanced,Commerce St & Fayette St
38.8058,-77.0608,2,POINT (-8578369.016122296 4693892.141498708),medium,84.0,22314,dark,Balanced,King St Metro South
38.8058,-77.0607,6,POINT (-8578357.884173216 4693892.141498708),medium,84.0,22314,dark,Balanced,King St Metro South
38.8058,-77.0606,127,POINT (-8578346.752224136 4693892.141498708),large,84.0,22314,dark,High-turnover hub,King St Metro South
38.8059,-77.0607,1,POINT (-8578357.884173216 4693906.426524662),small,84.0,22314,dark,Net sink ZIP,King St Metro South
38.806,-77.0559,121,POINT (-8577823.550617408 4693920.711570665),large,84.0,22314,dark,High-turnover hub,King St & Peyton St
38.806,-77.0558,1,POINT (-8577812.418668332 4693920.711570665),small,84.0,22314,dark,Net sink ZIP,King St & Peyton St
38.8061,-77.056,1,POINT (-8577834.682566488 4693934.996636719),small,84.0,22314,dark,Net sink ZIP,King St & Peyton St
38.8061,-77.0559,1,POINT (-8577823.550617408 4693934.996636719),small,84.0,22314,dark,Net sink ZIP,King St & Peyton St
38.8069,-77.0599,1,POINT (-8578268.828580583 4694049.277886969),small,84.0,22314,dark,Net sink ZIP,King St Metro North / Cameron St
38.8069,-77.0598,6,POINT (-8578257.696631502 4694049.277886969),medium,84.0,22314,dark,Balanced,King St Metro North / Cameron St
38.8069,-77.0597,2,POINT (-8578246.564682424 4694049.277886969),medium,84.0,22314,dark,Balanced,King St Metro North / Cameron St
38.807,-77.0599,1,POINT (-8578268.828580583 4694063.563133481),small,84.0,22314,dark,Net sink ZIP,King St Metro North / Cameron St
38.807,-77.0598,367,POINT (-8578257.696631502 4694063.563133481),large,84.0,22314,dark,High-turnover hub,King St Metro North / Cameron St
38.807,-77.0597,1,POINT (-8578246.564682424 4694063.563133481),small,84.0,22314,dark,Net sink ZIP,King St Metro North / Cameron St
38.807,-77.0596,1,POINT (-8578235.432733344 4694063.563133481),small,84.0,22314,dark,Net sink ZIP,King St Metro North / Cameron St
